Metodo,Refactoring,Classe
"public calculateMaximumFlow(source V, sink V) : double",Rename Method,jgrapht-core.src.main.org.jgrapht.alg.flow.GusfieldEquivalentFlowTree
"public calculateMaximumFlow(source V, sink V) : double",Rename Method,jgrapht-core.src.main.org.jgrapht.alg.flow.GusfieldGomoryHuCutTree
"private initialize(g Graph<V,E>) : void",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
private cleanup() : void,Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
"private computePartialCycle() : Pair<EdgeNode,EdgeNode>",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
"private updateGraphAndInsertLocations(partialCycle Pair<EdgeNode,EdgeNode>, partialCycleSourceVertex VertexNode) : void",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
"private buildWalk() : GraphWalk<V,E>",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
"private addEdge(sNode VertexNode, tNode VertexNode, e E) : void",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
private unlink(vNode VertexNode) : void,Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
private moveToFront(vNode VertexNode) : void,Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
private unlink(eNode EdgeNode) : void,Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
"private getOppositeVertex(v VertexNode, e EdgeNode) : VertexNode",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
"package EdgeNode(sourceNode VertexNode, targetNode VertexNode, prev EdgeNode, e E, reverse EdgeNode, next EdgeNode)",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
"package VertexNode(prev VertexNode, v V, next VertexNode)",Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.alg.cycle.HierholzerEulerianCycle
public addEdgeToTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.DirectedSpecifics
public removeEdgeFromTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.DirectedSpecifics
public addEdgeToTouchingVertices(e E) : void,Rename Method,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupDirectedSpecifics
public removeEdgeFromTouchingVertices(e E) : void,Extract Method,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupDirectedSpecifics
public removeEdgeFromTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupDirectedSpecifics
public addEdgeToTouchingVertices(e E) : void,Remove Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupDirectedSpecifics
public addEdgeToTouchingVertices(e E) : void,Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupDirectedSpecifics
public addEdgeToTouchingVertices(e E) : void,Rename Method,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics
public removeEdgeFromTouchingVertices(e E) : void,Extract Method,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics
public removeEdgeFromTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics
public addEdgeToTouchingVertices(e E) : void,Remove Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics
public addEdgeToTouchingVertices(e E) : void,Change Method Access Modifier,jgrapht-core.src.main.org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics
public addEdgeToTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.Specifics
public removeEdgeFromTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.Specifics
public addEdgeToTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.UndirectedSpecifics
public removeEdgeFromTouchingVertices(e E) : void,Add Method Annotation,jgrapht-core.src.main.org.jgrapht.graph.specifics.UndirectedSpecifics
"private createHrefGraph() : Graph<URL,DefaultEdge>",Change Return Type,jgrapht-demo.src.main.org.jgrapht.demo.HelloJGraphT
"public ClosestFirstIterator(g Graph<V,E>, startVertex V, radius double)",Extract Method,jgrapht-core.src.main.org.jgrapht.traverse.ClosestFirstIterator
"public ClosestFirstIterator(g Graph<V,E>, startVertices Iterable<V>, radius double)",Extract Method,jgrapht-core.src.main.org.jgrapht.traverse.ClosestFirstIterator
