Metodo,Refactoring,Classe
"public getNumberOfTriangles(graph Graph<V,E>) : long",Extract And Move Method,jgrapht-core.src.main.org.jgrapht.GraphMetrics
"private getVertexInOrder(vertexOrder List<V>) : Map<V,Integer>",Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.clique.ChordalGraphMaxCliqueFinder
"public BrownBacktrackColoring(graph Graph<V,E>)",Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.BrownBacktrackColoring
private lazyComputeColoring() : void,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.ChordalGraphColoring
"private getVertexInOrder(vertexOrder List<V>) : Map<V,Integer>",Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.ChordalGraphColoring
"public ColoringRepresentation(graph Graph<V,E>, alpha Coloring<V>)",Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.ColorRefinementAlgorithm
"public ColoringRepresentation(graph Graph<V,E>, alpha Coloring<V>)",Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.ColorRefinementAlgorithm
protected getVertexOrdering() : Iterable<V>,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.LargestDegreeFirstColoring
public getColoring() : Coloring<V>,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.SaturationDegreeColoring
public getColoring() : Coloring<V>,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.SaturationDegreeColoring
public getColoring() : Coloring<V>,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.SaturationDegreeColoring
public getColoring() : Coloring<V>,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.SaturationDegreeColoring
protected getVertexOrdering() : Iterable<V>,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.color.SmallestDegreeLastColoring
private createVertexNumber() : void,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.connectivity.GabowStrongConnectivityInspector
private createVertexData() : void,Extract And Move Method,jgrapht-core.src.main.org.jgrapht.alg.connectivity.KosarajuStrongConnectivityInspector
