TestClass,RefactoredMethod
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.traverse.CrossComponentIterator.<init>
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.graph.specifics.FastLookupUndirectedSpecifics.removeFromIndex
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.alg.tour.TwoOptHeuristicTSP.<init>
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.util.DoublyLinkedList.moveAllListNodes
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.graph.specifics.FastLookupDirectedSpecifics.removeFromIndex
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.traverse.CrossComponentIterator.selectOutgoingEdges
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.util.DoublyLinkedList.linkListIntoThisBefore
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.alg.cycle.HawickJamesSimpleCycles.printSimpleCycles
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.alg.matching.blossom.v5.KolmogorovWeightedPerfectMatching.<init>
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.traverse.CrossComponentIterator.addUnseenChildrenOf
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.traverse.CrossComponentIterator.hasNext
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.alg.lca.NaiveLCAFinder.getLCA
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.alg.cycle.HawickJamesSimpleCycles.countSimpleCycles
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.traverse.ClosestFirstIterator.<init>
jacoco_org_jgrapht_generate_WattsStrogatzGraphGeneratorTest,org.jgrapht.util.DoublyLinkedList.tail
